threshold,precision,recall,f1
0.01,0.5465587044534413,1.0,0.7068062827225131
0.02,0.5844155844155844,1.0,0.7377049180327869
0.03,0.6,1.0,0.7499999999999999
0.04,0.6221198156682027,1.0,0.7670454545454545
0.05,0.6398104265402843,1.0,0.7803468208092486
0.06,0.6553398058252428,1.0,0.7917888563049854
0.07,0.6716417910447762,1.0,0.8035714285714287
0.08,0.6923076923076923,1.0,0.8181818181818181
0.09,0.703125,1.0,0.8256880733944955
0.1,0.7015706806282722,0.9925925925925926,0.8220858895705521
0.11,0.7127659574468085,0.9925925925925926,0.8297213622291022
0.12,0.7282608695652174,0.9925925925925926,0.8401253918495298
0.13,0.7362637362637363,0.9925925925925926,0.8454258675078865
0.14,0.7528089887640449,0.9925925925925926,0.8562300319488818
0.15,0.7613636363636364,0.9925925925925926,0.8617363344051446
0.16,0.7701149425287356,0.9925925925925926,0.8673139158576052
0.17,0.7745664739884393,0.9925925925925926,0.8701298701298702
0.18,0.7745664739884393,0.9925925925925926,0.8701298701298702
0.19,0.7790697674418605,0.9925925925925926,0.8729641693811077
0.2,0.783625730994152,0.9925925925925926,0.8758169934640523
0.21,0.8121212121212121,0.9925925925925926,0.8933333333333334
0.22,0.8121212121212121,0.9925925925925926,0.8933333333333334
0.23,0.8220858895705522,0.9925925925925926,0.8993288590604027
0.24,0.8271604938271605,0.9925925925925926,0.9023569023569024
0.25,0.8322981366459627,0.9925925925925926,0.9054054054054055
0.26,0.8322981366459627,0.9925925925925926,0.9054054054054055
0.27,0.8427672955974843,0.9925925925925926,0.9115646258503401
0.28,0.8481012658227848,0.9925925925925926,0.9146757679180887
0.29,0.8461538461538461,0.9777777777777777,0.9072164948453608
0.3,0.8571428571428571,0.9777777777777777,0.9134948096885812
0.31,0.8571428571428571,0.9777777777777777,0.9134948096885812
0.32,0.868421052631579,0.9777777777777777,0.9198606271777003
0.33,0.8741721854304636,0.9777777777777777,0.923076923076923
0.34,0.8741721854304636,0.9777777777777777,0.923076923076923
0.35,0.8741721854304636,0.9777777777777777,0.923076923076923
0.36,0.8741721854304636,0.9777777777777777,0.923076923076923
0.37,0.8859060402684564,0.9777777777777777,0.9295774647887324
0.38,0.8859060402684564,0.9777777777777777,0.9295774647887324
0.39,0.8859060402684564,0.9777777777777777,0.9295774647887324
0.4,0.8859060402684564,0.9777777777777777,0.9295774647887324
0.41,0.8859060402684564,0.9777777777777777,0.9295774647887324
0.42,0.8859060402684564,0.9777777777777777,0.9295774647887324
0.43,0.8859060402684564,0.9777777777777777,0.9295774647887324
0.44,0.8859060402684564,0.9777777777777777,0.9295774647887324
0.45,0.8918918918918919,0.9777777777777777,0.9328621908127209
0.46,0.8918918918918919,0.9777777777777777,0.9328621908127209
0.47,0.9041095890410958,0.9777777777777777,0.9395017793594306
0.48,0.903448275862069,0.9703703703703703,0.9357142857142857
0.49,0.903448275862069,0.9703703703703703,0.9357142857142857
0.5,0.916083916083916,0.9703703703703703,0.9424460431654677
0.51,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.52,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.53,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.54,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.55,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.56,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.57,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.58,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.59,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.6,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.61,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.62,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.63,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.64,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.65,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.66,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.67,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.68,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.69,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.7,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.71,0.9225352112676056,0.9703703703703703,0.9458483754512635
0.72,0.9290780141843972,0.9703703703703703,0.9492753623188406
0.73,0.9290780141843972,0.9703703703703703,0.9492753623188406
0.74,0.9357142857142857,0.9703703703703703,0.9527272727272726
0.75,0.9357142857142857,0.9703703703703703,0.9527272727272726
0.76,0.9357142857142857,0.9703703703703703,0.9527272727272726
0.77,0.9357142857142857,0.9703703703703703,0.9527272727272726
0.78,0.935251798561151,0.9629629629629629,0.948905109489051
0.79,0.9347826086956522,0.9555555555555556,0.945054945054945
0.8,0.9347826086956522,0.9555555555555556,0.945054945054945
0.81,0.9347826086956522,0.9555555555555556,0.945054945054945
0.82,0.9347826086956522,0.9555555555555556,0.945054945054945
0.83,0.9347826086956522,0.9555555555555556,0.945054945054945
0.84,0.9347826086956522,0.9555555555555556,0.945054945054945
0.85,0.9416058394160584,0.9555555555555556,0.948529411764706
0.86,0.9485294117647058,0.9555555555555556,0.952029520295203
0.87,0.9481481481481482,0.9481481481481482,0.9481481481481482
0.88,0.9545454545454546,0.9333333333333333,0.9438202247191012
0.89,0.9545454545454546,0.9333333333333333,0.9438202247191012
0.9,0.9545454545454546,0.9333333333333333,0.9438202247191012
0.91,0.9615384615384616,0.9259259259259259,0.9433962264150944
0.92,0.9615384615384616,0.9259259259259259,0.9433962264150944
0.93,0.9615384615384616,0.9259259259259259,0.9433962264150944
0.94,0.9615384615384616,0.9259259259259259,0.9433962264150944
0.95,0.9682539682539683,0.9037037037037037,0.9348659003831418
0.96,0.976,0.9037037037037037,0.9384615384615385
0.97,0.9758064516129032,0.8962962962962963,0.9343629343629344
0.98,0.975609756097561,0.8888888888888888,0.9302325581395349
0.99,0.9743589743589743,0.8444444444444444,0.9047619047619048
